case_id,diagonal,resolution,curvature_mode,curvature_inv_m,field_id,energy_j,native_energy_j,linear_energy_j,native_linear_energy_j,normalized_energy,plate_reference_energy_j,exact_strip_energy_j,strip_relative_error,native_strip_relative_error,linear_relative_error,native_linear_relative_error,position_only_energy_j,coefficient_only_energy_j,realized_energy_j,energy_realization_relative_difference,realization_max_error_m,max_abs_dihedral_rad,map_sha256
forward_4_small_cylinder_u,forward,4,small,0.000244140625,cylinder_u,2.235174099973761e-08,5.587935249934402e-08,2.2351741790771484e-08,5.587935447692871e-08,0.7499999734573076,2.9802322387695312e-08,2.2351740999737612e-08,1.4802974185549806e-16,1.1842379348439844e-16,3.5390256503120554e-08,3.53902565327265e-08,2.235174099973761e-08,2.235174099973761e-08,2.235174099973761e-08,0.0,0.0,6.1035156003678516e-05,dd0677dc33a8ff88652a407b7940cca1081b8f0d599854aaae4cd9e49f08e58f
forward_4_small_cylinder_v,forward,4,small,0.000244140625,cylinder_v,2.235174099973761e-08,5.587935249934402e-08,2.2351741790771484e-08,5.587935447692871e-08,0.7499999734573076,2.9802322387695312e-08,2.2351740999737612e-08,1.4802974185549806e-16,1.1842379348439844e-16,3.5390256503120554e-08,3.53902565327265e-08,2.235174099973761e-08,2.235174099973761e-08,2.235174099973761e-08,0.0,0.0,6.1035156003678516e-05,dd0677dc33a8ff88652a407b7940cca1081b8f0d599854aaae4cd9e49f08e58f
forward_4_small_cylinder_plus45,forward,4,small,0.000244140625,cylinder_plus45,2.9802320324531033e-08,5.2683556991423896e-08,2.9802322387695312e-08,5.268356063861754e-08,0.9999999307716945,2.9802322387695312e-08,,,,6.922830553257597e-08,6.922830579346596e-08,2.9802320324531033e-08,2.9802319814486037e-08,2.9802319814486037e-08,-1.7114271296987133e-08,0.0,4.31583727880677e-05,dd0677dc33a8ff88652a407b7940cca1081b8f0d599854aaae4cd9e49f08e58f
forward_4_small_cylinder_minus45,forward,4,small,0.000244140625,cylinder_minus45,7.450580555406114e-08,1.6444226866292436e-07,7.450580596923828e-08,1.6444226959247496e-07,2.499999986068967,2.9802322387695312e-08,,,,5.5724132863588235e-09,5.65274736302214e-09,7.450580555406114e-08,7.45058050440161e-08,7.45058050440161e-08,-6.8457085715233e-09,0.0,6.103515620973591e-05,dd0677dc33a8ff88652a407b7940cca1081b8f0d599854aaae4cd9e49f08e58f
forward_4_small_twist,forward,4,small,0.000244140625,twist,1.6391276166002057e-07,3.224929293582018e-07,1.6391277313232422e-07,3.224929515083276e-07,5.499999615053367,,,,,6.999029687128976e-08,6.868406165331188e-08,1.6391276166002057e-07,1.6391275961984065e-07,1.6391275961984065e-07,-1.2446742367212006e-08,0.0,8.631674553594103e-05,dd0677dc33a8ff88652a407b7940cca1081b8f0d599854aaae4cd9e49f08e58f
forward_4_small_dome,forward,4,small,0.000244140625,dome,4.470348112517467e-08,1.1175870281293669e-07,4.470348358154297e-08,1.1175870895385742e-07,1.499999917577957,,,,,5.494802864565903e-08,5.494802858644713e-08,4.470348112517467e-08,4.470348112517467e-08,4.470348112517467e-08,0.0,0.0,6.1035155975256807e-05,dd0677dc33a8ff88652a407b7940cca1081b8f0d599854aaae4cd9e49f08e58f
forward_4_small_saddle,forward,4,small,0.000244140625,saddle,4.470348112517467e-08,1.1175870281293669e-07,4.470348358154297e-08,1.1175870895385742e-07,1.499999917577957,,,,,5.494802864565903e-08,5.494802858644713e-08,4.470348112517467e-08,4.470348112517467e-08,4.470348112517467e-08,0.0,0.0,6.1035155975256807e-05,dd0677dc33a8ff88652a407b7940cca1081b8f0d599854aaae4cd9e49f08e58f
forward_4_finite_cylinder_u,forward,4,finite,0.02,cylinder_u,0.00014996438469814497,0.0003749109617453624,0.00015000000000000001,0.000375,0.7498219234907247,0.0002,0.00014996438469814505,5.422298307700698e-16,5.783784861547411e-16,0.00023743534570032596,0.00023743534570032596,0.00014996435007453505,0.00014996438469814497,0.00014996435007453505,-2.3087888490425348e-07,2.2351741811588166e-10,0.004999864588059705,dd0677dc33a8ff88652a407b7940cca1081b8f0d599854aaae4cd9e49f08e58f
forward_4_finite_cylinder_v,forward,4,finite,0.02,cylinder_v,0.00014996438469814497,0.0003749109617453624,0.00015000000000000001,0.000375,0.7498219234907247,0.0002,0.00014996438469814505,5.422298307700698e-16,5.783784861547411e-16,0.00023743534570032596,0.00023743534570032596,0.00014996435007453505,0.00014996438469814497,0.00014996435007453505,-2.3087888490425348e-07,2.2351741811588166e-10,0.004999864588059705,dd0677dc33a8ff88652a407b7940cca1081b8f0d599854aaae4cd9e49f08e58f
forward_4_finite_cylinder_plus45,forward,4,finite,0.02,cylinder_plus45,0.00019990713184046247,0.0003533892213298604,0.0002,0.00035355339059327376,0.9995356592023122,0.0002,,,,0.0004643407976877192,0.00046434079768800174,0.00019990712293208862,0.0001999071284191976,0.0001999071195108239,-6.167683185909632e-08,4.470348362317633e-10,0.003535486029746624,dd0677dc33a8ff88652a407b7940cca1081b8f0d599854aaae4cd9e49f08e58f
forward_4_finite_cylinder_minus45,forward,4,finite,0.02,cylinder_minus45,0.000499981303475608,0.001103511530484381,0.0005,0.0011035533905932738,2.4999065173780397,0.0002,,,,3.739304878409844e-05,3.793211026278025e-05,0.0004999812950966056,0.0004999813000528678,0.0004999812916738657,-2.3604367257473973e-08,1.1175870905794083e-10,0.00499997786477956,dd0677dc33a8ff88652a407b7940cca1081b8f0d599854aaae4cd9e49f08e58f
forward_4_finite_twist,forward,4,finite,0.02,twist,0.0010994836119563132,0.0021632165408351223,0.0011,0.002164213562373095,5.497418059781565,,,,,0.00046944367607901026,0.0004606853756518932,0.0010994835907479242,0.0010994835982717664,0.001099483577063378,-3.173574824855218e-08,4.470348362317633e-10,0.007070949964270686,dd0677dc33a8ff88652a407b7940cca1081b8f0d599854aaae4cd9e49f08e58f
forward_4_finite_dome,forward,4,finite,0.02,dome,0.0002998894221883125,0.0007497235554707812,0.00030000000000000003,0.00075,1.4994471109415624,,,,,0.0003685927056251515,0.0003685927056250431,0.0002998894087852612,0.0002998894221883125,0.0002998894087852612,-4.469331127027252e-08,4.470348362317633e-10,0.004999848964402394,dd0677dc33a8ff88652a407b7940cca1081b8f0d599854aaae4cd9e49f08e58f
forward_4_finite_saddle,forward,4,finite,0.02,saddle,0.00029988942218831243,0.000749723555470781,0.00030000000000000003,0.00075,1.4994471109415621,,,,,0.0003685927056253322,0.00036859270562533225,0.000299889422746608,0.00029988942218831243,0.000299889422746608,1.8616715227193236e-09,3.725290301931361e-10,0.004999848964402394,dd0677dc33a8ff88652a407b7940cca1081b8f0d599854aaae4cd9e49f08e58f
forward_8_small_cylinder_u,forward,8,small,0.000244140625,cylinder_u,2.607703111374062e-08,3.2596288892175775e-08,2.60770320892334e-08,3.259629011154175e-08,0.8749999672678939,2.9802322387695312e-08,2.6077031113740612e-08,2.537652722643465e-16,4.0602443562295446e-16,3.7408121299011195e-08,3.7408121248258146e-08,2.607703111374062e-08,2.607703111374062e-08,2.607703111374062e-08,0.0,0.0,3.0517578094209814e-05,34e5c22a46c566afb687add6ef6588497ca6ee38d9046e81a40765aa19a8e6e2
forward_8_small_cylinder_v,forward,8,small,0.000244140625,cylinder_v,2.6077031113740616e-08,3.259628889217577e-08,2.60770320892334e-08,3.259629011154175e-08,0.8749999672678938,2.9802322387695312e-08,2.6077031113740612e-08,1.2688263613217324e-16,2.0301221781147723e-16,3.7408121425893826e-08,3.740812145127036e-08,2.6077031113740616e-08,2.6077031113740616e-08,2.6077031113740616e-08,0.0,0.0,3.0517578094209814e-05,34e5c22a46c566afb687add6ef6588497ca6ee38d9046e81a40765aa19a8e6e2
forward_8_small_cylinder_plus45,forward,8,small,0.000244140625,cylinder_plus45,2.980232031759213e-08,2.6341778489578767e-08,2.9802322387695312e-08,2.6341780319308777e-08,0.9999999305388635,2.9802322387695312e-08,,,,6.946113650929675e-08,6.94611369394899e-08,2.980232031759213e-08,2.9802319807547134e-08,2.9802319807547134e-08,-1.7114271300971863e-08,0.0,2.157918642669177e-05,34e5c22a46c566afb687add6ef6588497ca6ee38d9046e81a40765aa19a8e6e2
forward_8_small_cylinder_minus45,forward,8,small,0.000244140625,cylinder_minus45,8.195638607306696e-08,9.153435998021948e-08,8.195638656616211e-08,9.153436054239228e-08,2.7499999834544724,2.9802322387695312e-08,,,,6.0165554962374945e-09,6.141658707682836e-09,8.195638607306696e-08,8.195638556302194e-08,8.195638556302194e-08,-6.223371269934621e-09,0.0,3.0517578119966988e-05,34e5c22a46c566afb687add6ef6588497ca6ee38d9046e81a40765aa19a8e6e2
forward_8_small_twist,forward,8,small,0.000244140625,twist,1.713633417943515e-07,1.7055968983685283e-07,1.7136335372924805e-07,1.705597015003186e-07,5.749999599531326,,,,,6.96467259516616e-08,6.838347908507113e-08,1.713633417943515e-07,1.7136333975417154e-07,1.7136333975417154e-07,-1.1905579960435327e-08,0.0,4.3158372848359245e-05,34e5c22a46c566afb687add6ef6588497ca6ee38d9046e81a40765aa19a8e6e2
forward_8_small_dome,forward,8,small,0.000244140625,dome,5.215406119532086e-08,6.519257649415107e-08,5.21540641784668e-08,6.51925802230835e-08,1.7499998999022326,,,,,5.7198724233233274e-08,5.719872433473938e-08,5.215406119532086e-08,5.215406119532086e-08,5.215406119532086e-08,0.0,0.0,3.05175780906571e-05,34e5c22a46c566afb687add6ef6588497ca6ee38d9046e81a40765aa19a8e6e2
forward_8_small_saddle,forward,8,small,0.000244140625,saddle,5.215406119532086e-08,6.519257649415107e-08,5.21540641784668e-08,6.51925802230835e-08,1.7499998999022326,,,,,5.7198724233233274e-08,5.719872433473938e-08,5.215406119532086e-08,5.215406119532086e-08,5.215406119532086e-08,0.0,0.0,3.05175780906571e-05,34e5c22a46c566afb687add6ef6588497ca6ee38d9046e81a40765aa19a8e6e2
forward_8_finite_cylinder_u,forward,8,finite,0.02,cylinder_u,0.00017495608156265985,0.0002186951019533248,0.00017500000000000003,0.00021875000000000003,0.8747804078132992,0.0002,0.00017495608156266,9.295494298926676e-16,9.915193918855122e-16,0.00025096249908672743,0.0002509624990867584,0.00017495602255762215,0.00017495608156265985,0.00017495602255762215,-3.372562826759757e-07,2.2351741811588166e-10,0.00249998307306437,34e5c22a46c566afb687add6ef6588497ca6ee38d9046e81a40765aa19a8e6e2
forward_8_finite_cylinder_v,forward,8,finite,0.02,cylinder_v,0.00017495608156265988,0.00021869510195332483,0.00017500000000000003,0.00021875000000000003,0.8747804078132994,0.0002,0.00017495608156266,7.746245249105563e-16,8.675794678998231e-16,0.00025096249908657255,0.0002509624990866345,0.00017495602255762215,0.00017495608156265988,0.00017495602255762215,-3.372562828309005e-07,2.2351741811588166e-10,0.00249998307306437,34e5c22a46c566afb687add6ef6588497ca6ee38d9046e81a40765aa19a8e6e2
forward_8_finite_cylinder_plus45,forward,8,finite,0.02,cylinder_plus45,0.00019990682013755595,0.00017669433515588156,0.00020000000000000004,0.00017677669529663688,0.9995341006877797,0.0002,,,,0.0004658993122204259,0.00046589931222049683,0.0001999068112313307,0.0001999068167162964,0.0001999068078100713,-6.166615349258692e-08,4.470348362317633e-10,0.0017677609683647735,34e5c22a46c566afb687add6ef6588497ca6ee38d9046e81a40765aa19a8e6e2
forward_8_finite_cylinder_minus45,forward,8,finite,0.02,cylinder_minus45,0.0005499777949206904,0.0006142513795341111,0.0005500000000000001,0.0006142766952966369,2.7498889746034516,0.0002,,,,4.037287147233369e-05,4.121231151958634e-05,0.0005499777831443416,0.0005499777914979501,0.0005499777797216015,-2.7635822720809953e-08,1.1175870905794083e-10,0.0024999972330790577,34e5c22a46c566afb687add6ef6588497ca6ee38d9046e81a40765aa19a8e6e2
forward_8_finite_twist,forward,8,finite,0.02,twist,0.001149462789646438,0.0011440817854978848,0.0011500000000000002,0.0011446067811865476,5.74731394823219,,,,,0.0004671394378801302,0.0004586690357701626,0.0011494627615629117,0.00114946277596187,0.0011494627478783443,-3.633705600058493e-08,4.470348362317633e-10,0.0035355191746519474,34e5c22a46c566afb687add6ef6588497ca6ee38d9046e81a40765aa19a8e6e2
forward_8_finite_dome,forward,8,finite,0.02,dome,0.00034986571312144686,0.0004373321414018086,0.00035000000000000005,0.00043750000000000006,1.7493285656072342,,,,,0.0003836767958662552,0.0003836767958662552,0.0003498657207645349,0.00034986571312144686,0.0003498657207645349,2.1845776116344188e-08,4.470348362317633e-10,0.002499981119981331,34e5c22a46c566afb687add6ef6588497ca6ee38d9046e81a40765aa19a8e6e2
forward_8_finite_saddle,forward,8,finite,0.02,saddle,0.00034986571312144675,0.00043733214140180847,0.00035000000000000005,0.00043750000000000006,1.7493285656072337,,,,,0.00038367679586656504,0.0003836767958665031,0.000349865707948378,0.00034986571312144675,0.000349865707948378,-1.4785869376014742e-08,3.725290301931361e-10,0.002499981119981331,34e5c22a46c566afb687add6ef6588497ca6ee38d9046e81a40765aa19a8e6e2
forward_16_small_cylinder_u,forward,16,small,0.000244140625,cylinder_u,2.793967616185165e-08,1.7462297601157282e-08,2.7939677238464355e-08,1.7462298274040222e-08,0.9374999638748722,2.9802322387695312e-08,2.793967616185165e-08,0.0,0.0,3.8533469629934795e-08,3.8533469629934795e-08,2.793967616185165e-08,2.793967616185165e-08,2.793967616185165e-08,0.0,0.0,1.5258789058651226e-05,7ab3f0df3321792c741b305f81c511f2f834a03d03146ec64556712da6d75b00
forward_16_small_cylinder_v,forward,16,small,0.000244140625,cylinder_v,2.793967616185165e-08,1.7462297601157282e-08,2.7939677238464355e-08,1.7462298274040222e-08,0.9374999638748722,2.9802322387695312e-08,2.793967616185165e-08,0.0,0.0,3.8533469629934795e-08,3.8533469629934795e-08,2.793967616185165e-08,2.793967616185165e-08,2.793967616185165e-08,0.0,0.0,1.5258789058651226e-05,7ab3f0df3321792c741b305f81c511f2f834a03d03146ec64556712da6d75b00
forward_16_small_cylinder_plus45,forward,16,small,0.000244140625,cylinder_plus45,2.9802320315857425e-08,1.3170889244022744e-08,2.9802322387695312e-08,1.317089015965439e-08,0.9999999304806565,2.9802322387695312e-08,,,,6.95193435040764e-08,6.95193441607626e-08,2.9802320315857425e-08,2.980231980581243e-08,2.980231980581243e-08,-1.7114271301968034e-08,0.0,1.0789593217428126e-05,7ab3f0df3321792c741b305f81c511f2f834a03d03146ec64556712da6d75b00
forward_16_small_cylinder_minus45,forward,16,small,0.000244140625,cylinder_minus45,8.568167632492626e-08,4.809548639752179e-08,8.568167686462402e-08,4.8095486707734836e-08,2.874999981890748,2.9802322387695312e-08,,,,6.298870217684136e-09,6.449940867597883e-09,8.568167632492626e-08,8.568167581488124e-08,8.568167581488124e-08,-5.952789912052806e-09,0.0,1.5258789061870873e-05,7ab3f0df3321792c741b305f81c511f2f834a03d03146ec64556712da6d75b00
forward_16_small_twist,forward,16,small,0.000244140625,twist,1.7508863184763918e-07,8.760815120046099e-08,1.7508864402770996e-07,8.760815718669801e-08,5.874999591304643,,,,,6.956516709249897e-08,6.832967628116382e-08,1.7508863184763918e-07,1.7508862980745922e-07,1.7508862980745922e-07,-1.1652269747560825e-08,0.0,2.157918643422821e-05,7ab3f0df3321792c741b305f81c511f2f834a03d03146ec64556712da6d75b00
forward_16_small_dome,forward,16,small,0.000244140625,dome,5.58793512145646e-08,3.492459450910287e-08,5.587935447692871e-08,3.4924596548080444e-08,1.8749998905332252,,,,,5.8382279869798975e-08,5.838227991716849e-08,5.58793512145646e-08,5.58793512145646e-08,5.58793512145646e-08,0.0,0.0,1.5258789058207137e-05,7ab3f0df3321792c741b305f81c511f2f834a03d03146ec64556712da6d75b00
forward_16_small_saddle,forward,16,small,0.000244140625,saddle,5.58793512145646e-08,3.492459450910287e-08,5.587935447692871e-08,3.4924596548080444e-08,1.8749998905332252,,,,,5.8382279869798975e-08,5.838227991716849e-08,5.58793512145646e-08,5.58793512145646e-08,5.58793512145646e-08,0.0,0.0,1.5258789058207137e-05,7ab3f0df3321792c741b305f81c511f2f834a03d03146ec64556712da6d75b00
