case_id,mesh_id,diagonal,resolution,field_id,field_kind,energy_j,reference_energy_j,energy_relative_error,normalized_energy_error,curvature_relative_l2_error,float32_displacement_energy_j,float32_energy_relative_difference,float32_max_displacement_error_m,normal_force_norm_n,operator_sha256
forward_4_cylinder_000,forward_4,forward,4,cylinder_000,quadratic,0.0002000000000000002,0.0002,9.486769009248164e-16,9.486769009248164e-16,2.723827027151122e-15,0.00019999993517997525,3.241001247217785e-07,2.2351741811588166e-10,0.14134956306827365,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_cylinder_015,forward_4,forward,4,cylinder_015,quadratic,0.00020000000000000028,0.0002,1.3552527156068805e-15,1.3552527156068805e-15,3.697332889200768e-15,0.0001999999673206026,1.6339698840381136e-07,4.624100633648931e-10,0.14025717086691808,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_cylinder_030,forward_4,forward,4,cylinder_030,quadratic,0.00020000000000000033,0.00019999999999999998,1.761828530288945e-15,1.7618285302889447e-15,4.166920572316685e-15,0.0002000000271481981,1.3574098876173422e-07,7.386334287262653e-10,0.1360014354208708,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_cylinder_045,forward_4,forward,4,cylinder_045,quadratic,0.00020000000000000047,0.0002,2.303929616531697e-15,2.303929616531697e-15,4.1429647294114535e-15,0.00019999996570161448,1.7149192995031532e-07,4.470348362317633e-10,0.1336607608073208,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_cylinder_060,forward_4,forward,4,cylinder_060,quadratic,0.00020000000000000015,0.00020000000000000004,5.421010862427521e-16,5.421010862427522e-16,4.730119484234325e-15,0.00020000002714819792,1.3574098889725963e-07,7.386334252568183e-10,0.13600143542087048,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_cylinder_075,forward_4,forward,4,cylinder_075,quadratic,0.00020000000000000015,0.0002,6.776263578034403e-16,6.776263578034403e-16,4.071090731445708e-15,0.00019999996732060238,1.633969888103873e-07,4.624100616301696e-10,0.14025717086691797,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_cylinder_090,forward_4,forward,4,cylinder_090,quadratic,0.00019999999999999987,0.0002,6.776263578034403e-16,6.776263578034403e-16,3.4914467879210176e-15,0.00019999993517997496,3.2410012458625376e-07,2.2351741985060514e-10,0.14134956306827326,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_cylinder_105,forward_4,forward,4,cylinder_105,quadratic,0.00019999999999999987,0.00020000000000000006,9.48676900924816e-16,9.486769009248164e-16,2.689055814405617e-15,0.0002000000031439864,1.5719932679788422e-08,3.6931671262840915e-10,0.13706959538713095,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_cylinder_120,forward_4,forward,4,cylinder_120,quadratic,0.0001999999999999997,0.00019999999999999993,1.0842021724855048e-15,1.0842021724855044e-15,1.975969241857307e-15,0.00019999999044792734,4.776036188172863e-08,1.6763806402059211e-10,0.13025074864524328,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_cylinder_135,forward_4,forward,4,cylinder_135,quadratic,0.00019999999999999982,0.0002,9.486769009248164e-16,9.486769009248164e-16,1.6809745305884576e-15,0.0001999999963229426,1.8385286104953216e-08,1.1175870992530257e-10,0.12687473735772534,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_cylinder_150,forward_4,forward,4,cylinder_150,quadratic,0.00019999999999999993,0.00019999999999999998,2.710505431213761e-16,2.710505431213761e-16,1.7076924211619508e-15,0.00019999999044792747,4.77603622883044e-08,1.6763806402059211e-10,0.13025074864524336,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_cylinder_165,forward_4,forward,4,cylinder_165,quadratic,0.00019999999999999993,0.00019999999999999996,1.3552527156068808e-16,1.3552527156068805e-16,2.0839398034481234e-15,0.00020000000314398665,1.571993362846532e-08,3.693167160978561e-10,0.13706959538713104,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_twist,forward_4,forward,4,twist,quadratic,0.0002800000000000003,0.00028,1.1616451848058977e-15,1.6263032587282567e-15,2.800553741382587e-15,0.00028000000145290613,5.188949391073904e-09,4.470348362317633e-10,0.07673330437300355,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_dome,forward_4,forward,4,dome,quadratic,0.0005200000000000005,0.0005200000000000001,8.340016711426956e-16,2.168404344971009e-15,3.951854730813627e-15,0.0005199999190289026,1.5571364977343752e-07,4.470348362317633e-10,0.2490718689823628,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_saddle,forward_4,forward,4,saddle,quadratic,0.00027999999999999987,0.00028000000000000003,5.808225924029488e-16,8.131516293641283e-16,2.4190488989680835e-15,0.0002800000008708236,3.1100848505552714e-09,3.725290301931361e-10,0.13372359552449978,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_quartic,forward_4,forward,4,quartic,general,2.3886318160076523e-05,3.36e-05,0.28909767380724627,0.04856840919961737,0.3060758347424075,2.3886321671409088e-05,1.4700183350340305e-07,9.499490256914545e-11,0.06120158961100979,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_4_sine,forward_4,forward,4,sine,general,3.523517698303792e-05,4.8704545517001214e-05,0.2765525967029414,0.06734684266981646,0.4702486112875191,3.52351788871735e-05,5.404075522159572e-08,4.749745128457272e-11,0.06167047493645707,71752b1377235e02595c10a06a11a9dd7b370c2ed14c34ae411e723600ef8329
forward_8_cylinder_000,forward_8,forward,8,cylinder_000,quadratic,0.00020000000000000104,0.0002,5.149960319306146e-15,5.149960319306146e-15,1.521540572194687e-14,0.00019999991655357698,4.1723212029971075e-07,2.2351741811588166e-10,0.20458731482610296,006d536137140256a6af8651b849648cdff927e9bda31fd1514aec52b3b69efb
forward_8_cylinder_015,forward_8,forward,8,cylinder_015,quadratic,0.00020000000000000226,0.0002,1.1248597539537109e-14,1.1248597539537109e-14,1.9723496636935003e-14,0.00020000002864317088,1.432158431018284e-07,4.624100633648931e-10,0.20067566831093606,006d536137140256a6af8651b849648cdff927e9bda31fd1514aec52b3b69efb
forward_8_cylinder_030,forward_8,forward,8,cylinder_030,quadratic,0.00020000000000000375,0.00019999999999999998,1.8838012746935643e-14,1.883801274693564e-14,2.3961844755155298e-14,0.00020000011328681928,5.664340776479688e-07,7.386334287262653e-10,0.19129547506837272,006d536137140256a6af8651b849648cdff927e9bda31fd1514aec52b3b69efb
forward_8_cylinder_045,forward_8,forward,8,cylinder_045,quadratic,0.00020000000000000445,0.0002,2.222614453595284e-14,2.222614453595284e-14,2.5786747812995333e-14,0.0001999999743321302,1.2833937132971053e-07,4.470348362317633e-10,0.18632341725163423,006d536137140256a6af8651b849648cdff927e9bda31fd1514aec52b3b69efb
forward_8_cylinder_060,forward_8,forward,8,cylinder_060,quadratic,0.00020000000000000464,0.00020000000000000004,2.3039296165316966e-14,2.303929616531697e-14,2.5377872333727912e-14,0.00020000011328682017,5.664340776479663e-07,7.386334252568183e-10,0.19129547506837333,006d536137140256a6af8651b849648cdff927e9bda31fd1514aec52b3b69efb
forward_8_cylinder_075,forward_8,forward,8,cylinder_075,quadratic,0.00020000000000000342,0.0002,1.7076184216646695e-14,1.7076184216646695e-14,2.3073142624727705e-14,0.00020000002864317177,1.4321584174657485e-07,4.624100616301696e-10,0.20067566831093606,006d536137140256a6af8651b849648cdff927e9bda31fd1514aec52b3b69efb
forward_8_cylinder_090,forward_8,forward,8,cylinder_090,quadratic,0.00020000000000000204,0.0002,1.0164395367051604e-14,1.0164395367051604e-14,2.0031460509093824e-14,0.00019999991655357758,4.1723212233258776e-07,2.2351741985060514e-10,0.20458731482610307,006d536137140256a6af8651b849648cdff927e9bda31fd1514aec52b3b69efb
forward_8_cylinder_105,forward_8,forward,8,cylinder_105,quadratic,0.0002000000000000007,0.00020000000000000006,3.117081245895824e-15,3.1170812458958252e-15,1.3198993849548776e-14,0.00020000001413114686,7.06557308862742e-08,4.031273492105525e-10,0.19867599860946752,006d536137140256a6af8651b849648cdff927e9bda31fd1514aec52b3b69efb
forward_8_cylinder_120,forward_8,forward,8,cylinder_120,quadratic,0.00020000000000000015,0.00019999999999999993,1.0842021724855048e-15,1.0842021724855044e-15,7.451248597766938e-15,0.0001999999906307449,4.6846276180066324e-08,2.3120502994772307e-10,0.1876453902814448,006d536137140256a6af8651b849648cdff927e9bda31fd1514aec52b3b69efb
