case_id,structure_mode,status,requested_steps,completed_steps,duration_s,max_residual_m_s2,max_newton_updates,hvp_count,max_energy_defect_j
translation,nonlinear,completed,8,8,0.16,7.566620776060838e-10,1,707,3.645629924091133e-18
constant_acceleration,nonlinear,completed,8,8,0.16,8.57342166693081e-10,1,692,2.1955093992831465e-18
force_transition,nonlinear,completed,8,8,0.16,8.348602614474756e-10,1,697,6.139294626352803e-18
all_pinned_reaction,nonlinear,completed,1,1,0.02,0.0,0,0,0.0
linear_forward_40,rest_linear_reference,completed,40,40,1.0719083180935054,2.410339326433535e-11,1,745,9.166679838993406e-22
linear_forward_80,rest_linear_reference,completed,80,80,1.0719083180935054,6.646387210914367e-11,1,1157,3.2799529328124156e-21
linear_forward_160,rest_linear_reference,completed,160,160,1.0719083180935054,1.4306860465105574e-10,1,1957,4.0675607119751e-21
linear_backward_40,rest_linear_reference,completed,40,40,1.0719083180943418,3.02317518283277e-11,1,747,4.898904476424281e-22
linear_backward_80,rest_linear_reference,completed,80,80,1.0719083180943418,6.499178918478358e-11,1,1165,2.5137977163630715e-21
linear_backward_160,rest_linear_reference,completed,160,160,1.0719083180943418,1.249563852171075e-10,1,1948,6.959948795363277e-21
linear_checkerboard_40,rest_linear_reference,completed,40,40,1.078804399562076,2.7840052609917326e-11,1,724,5.160247505757722e-21
linear_checkerboard_80,rest_linear_reference,completed,80,80,1.078804399562076,6.816454286609717e-11,1,1199,1.2908831121962018e-20
linear_checkerboard_160,rest_linear_reference,completed,160,160,1.078804399562076,1.4697622442811227e-10,1,2038,2.4280673550313025e-20
nonlinear_40,nonlinear,completed,40,40,1.0719083180935054,1.5472934357845415e-08,3,8375,9.190405496410784e-11
nonlinear_80,nonlinear,completed,80,80,1.0719083180935054,9.849068463803192e-10,2,12051,1.790502860739303e-11
nonlinear_160,nonlinear,completed,160,160,1.0719083180935054,4.2506416316053036e-10,2,22722,4.3590619869905296e-12
nonlinear_320,nonlinear,completed,320,320,1.0719083180935054,3.7600493118972724e-10,2,39959,1.756183970239615e-12
amplitude_0.0005000,nonlinear,completed,320,320,1.0719083180935054,4.445512644756999e-10,2,39668,1.0125961403482039e-13
amplitude_0.0002500,nonlinear,completed,320,320,1.0719083180935054,4.543894254987473e-10,2,39074,6.1961609756849765e-15
