left,right,position_error,velocity_error
n4_forward,n8_forward,0.059562439419354844,0.22169172419804703
n8_forward,n16_forward,0.02927207350708704,0.23209960828481602
n4_backward,n8_backward,0.059562439419399,0.22169172419805427
n8_backward,n16_backward,0.02927207350782526,0.2320996082851154
n4_checkerboard,n8_checkerboard,0.038578605120408546,0.21043243602682038
n8_checkerboard,n16_checkerboard,0.01395752373110618,0.2268550885371437
n4_forward,n4_backward,0.034878932681699774,0.11880876234124814
n4_forward,n4_checkerboard,0.19923575761372567,0.4686220851549159
n4_backward,n4_checkerboard,0.19923575761368933,0.46862208515490855
n8_forward,n8_backward,0.01866167525395353,0.10178594468441284
n8_forward,n8_checkerboard,0.20862747954170513,0.4863638591492186
n8_backward,n8_checkerboard,0.20862747954169972,0.48636385914916946
n16_forward,n16_backward,0.005709376713202905,0.08558328276784287
n16_forward,n16_checkerboard,0.21203508722494965,0.5154619385954496
n16_backward,n16_checkerboard,0.2120350872250604,0.515461938596039
