timestamp, name, driver_version, utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu
2026/09/22 18:36:31.116, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 1045 MiB, 1531 MHz, 5508 MHz, 63.04 W, 51
2026/09/22 18:36:33.076, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 1047 MiB, 1430 MHz, 5508 MHz, 61.31 W, 51
2026/09/22 18:36:35.034, NVIDIA GeForce GTX 1080 Ti, 582.28, 10 %, 2 %, 1188 MiB, 1531 MHz, 5005 MHz, 61.03 W, 51
2026/09/22 18:36:36.982, NVIDIA GeForce GTX 1080 Ti, 582.28, 76 %, 5 %, 1290 MiB, 1936 MHz, 5005 MHz, 102.26 W, 53
2026/09/22 18:36:38.931, NVIDIA GeForce GTX 1080 Ti, 582.28, 7 %, 2 %, 1328 MiB, 1923 MHz, 5005 MHz, 99.96 W, 56
2026/09/22 18:36:40.883, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 1359 MiB, 1923 MHz, 5005 MHz, 78.56 W, 55
2026/09/22 18:36:42.833, NVIDIA GeForce GTX 1080 Ti, 582.28, 9 %, 2 %, 1705 MiB, 1923 MHz, 5005 MHz, 78.99 W, 55
2026/09/22 18:36:44.786, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 1873 MiB, 1923 MHz, 5005 MHz, 79.42 W, 56
2026/09/22 18:36:46.744, NVIDIA GeForce GTX 1080 Ti, 582.28, 7 %, 2 %, 2385 MiB, 1923 MHz, 5005 MHz, 82.25 W, 56
2026/09/22 18:36:48.702, NVIDIA GeForce GTX 1080 Ti, 582.28, 30 %, 3 %, 2601 MiB, 1923 MHz, 5005 MHz, 90.11 W, 57
2026/09/22 18:36:50.654, NVIDIA GeForce GTX 1080 Ti, 582.28, 5 %, 2 %, 2897 MiB, 1923 MHz, 5005 MHz, 78.85 W, 56
2026/09/22 18:36:52.611, NVIDIA GeForce GTX 1080 Ti, 582.28, 22 %, 3 %, 3317 MiB, 1923 MHz, 5005 MHz, 79.57 W, 57
2026/09/22 18:36:54.565, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3371 MiB, 1923 MHz, 5005 MHz, 106.50 W, 59
2026/09/22 18:36:56.519, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3433 MiB, 1923 MHz, 5005 MHz, 106.43 W, 59
2026/09/22 18:37:00.241, NVIDIA GeForce GTX 1080 Ti, 582.28, 59 %, 9 %, 3492 MiB, 1923 MHz, 5005 MHz, 105.19 W, 60
2026/09/22 18:37:02.197, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3492 MiB, 1923 MHz, 5005 MHz, 109.30 W, 60
2026/09/22 18:37:04.155, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 7 %, 3554 MiB, 1911 MHz, 5005 MHz, 107.85 W, 60
2026/09/22 18:37:06.113, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3555 MiB, 1911 MHz, 5005 MHz, 106.03 W, 60
2026/09/22 18:37:08.072, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3555 MiB, 1911 MHz, 5005 MHz, 105.25 W, 60
2026/09/22 18:37:10.032, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 11 %, 3555 MiB, 1911 MHz, 5005 MHz, 104.25 W, 61
2026/09/22 18:37:11.968, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3557 MiB, 1911 MHz, 5005 MHz, 104.10 W, 61
2026/09/22 18:37:13.904, NVIDIA GeForce GTX 1080 Ti, 582.28, 98 %, 13 %, 3557 MiB, 1911 MHz, 5005 MHz, 104.35 W, 61
2026/09/22 18:37:15.844, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3556 MiB, 1911 MHz, 5005 MHz, 108.75 W, 61
2026/09/22 18:37:17.781, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 7 %, 3555 MiB, 1911 MHz, 5005 MHz, 119.26 W, 61
2026/09/22 18:37:19.739, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3555 MiB, 1911 MHz, 5005 MHz, 103.46 W, 61
2026/09/22 18:37:21.692, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 11 %, 3554 MiB, 1911 MHz, 5005 MHz, 120.22 W, 62
2026/09/22 18:37:23.645, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 9 %, 3554 MiB, 1911 MHz, 5005 MHz, 103.16 W, 62
2026/09/22 18:37:25.598, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3554 MiB, 1911 MHz, 5005 MHz, 103.21 W, 62
2026/09/22 18:37:27.561, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 7 %, 3653 MiB, 1911 MHz, 5005 MHz, 110.13 W, 62
2026/09/22 18:37:29.519, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3635 MiB, 1911 MHz, 5005 MHz, 106.31 W, 62
2026/09/22 18:37:31.476, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3616 MiB, 1911 MHz, 5005 MHz, 106.04 W, 62
2026/09/22 18:37:35.185, NVIDIA GeForce GTX 1080 Ti, 582.28, 6 %, 2 %, 2922 MiB, 1911 MHz, 5005 MHz, 79.86 W, 60
2026/09/22 18:37:37.144, NVIDIA GeForce GTX 1080 Ti, 582.28, 5 %, 2 %, 2055 MiB, 1911 MHz, 5005 MHz, 79.67 W, 60
2026/09/22 18:37:39.104, NVIDIA GeForce GTX 1080 Ti, 582.28, 8 %, 3 %, 2170 MiB, 1455 MHz, 5005 MHz, 59.86 W, 58
2026/09/22 18:37:41.063, NVIDIA GeForce GTX 1080 Ti, 582.28, 7 %, 2 %, 2824 MiB, 1531 MHz, 5005 MHz, 60.45 W, 57
2026/09/22 18:37:43.028, NVIDIA GeForce GTX 1080 Ti, 582.28, 12 %, 2 %, 3156 MiB, 1911 MHz, 5005 MHz, 80.73 W, 59
2026/09/22 18:37:44.948, NVIDIA GeForce GTX 1080 Ti, 582.28, 4 %, 1 %, 3287 MiB, 1911 MHz, 5005 MHz, 81.34 W, 60
2026/09/22 18:37:46.869, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 10 %, 3663 MiB, 1911 MHz, 5005 MHz, 106.79 W, 62
2026/09/22 18:37:48.789, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 9 %, 3644 MiB, 1911 MHz, 5005 MHz, 107.74 W, 62
2026/09/22 18:37:50.748, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 9 %, 3614 MiB, 1911 MHz, 5005 MHz, 108.13 W, 62
2026/09/22 18:37:52.705, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3590 MiB, 1911 MHz, 5005 MHz, 107.08 W, 63
2026/09/22 18:37:54.667, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 13 %, 3587 MiB, 1911 MHz, 5005 MHz, 105.30 W, 63
2026/09/22 18:37:56.623, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3563 MiB, 1911 MHz, 5005 MHz, 108.01 W, 63
2026/09/22 18:37:58.579, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 9 %, 3563 MiB, 1911 MHz, 5005 MHz, 104.89 W, 63
2026/09/22 18:38:00.536, NVIDIA GeForce GTX 1080 Ti, 582.28, 76 %, 6 %, 3558 MiB, 1911 MHz, 5005 MHz, 123.17 W, 63
2026/09/22 18:38:02.500, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 9 %, 3549 MiB, 1911 MHz, 5005 MHz, 106.02 W, 63
2026/09/22 18:38:04.459, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 11 %, 3602 MiB, 1911 MHz, 5005 MHz, 107.75 W, 64
2026/09/22 18:38:08.153, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 10 %, 3759 MiB, 1911 MHz, 5005 MHz, 106.42 W, 63
2026/09/22 18:38:10.114, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 6 %, 3690 MiB, 1911 MHz, 5005 MHz, 113.57 W, 64
2026/09/22 18:38:12.078, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 12 %, 3673 MiB, 1911 MHz, 5005 MHz, 111.06 W, 64
2026/09/22 18:38:14.045, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 11 %, 3645 MiB, 1911 MHz, 5005 MHz, 105.27 W, 64
2026/09/22 18:38:16.008, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 9 %, 3623 MiB, 1911 MHz, 5005 MHz, 124.04 W, 64
2026/09/22 18:38:17.946, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 9 %, 3683 MiB, 1911 MHz, 5005 MHz, 104.65 W, 64
2026/09/22 18:38:19.847, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3644 MiB, 1911 MHz, 5005 MHz, 108.33 W, 64
2026/09/22 18:38:21.762, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 10 %, 3628 MiB, 1911 MHz, 5005 MHz, 124.64 W, 64
2026/09/22 18:38:23.725, NVIDIA GeForce GTX 1080 Ti, 582.28, 98 %, 7 %, 3610 MiB, 1911 MHz, 5005 MHz, 123.59 W, 64
2026/09/22 18:38:25.685, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3589 MiB, 1911 MHz, 5005 MHz, 106.60 W, 64
2026/09/22 18:38:27.641, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 9 %, 3594 MiB, 1911 MHz, 5005 MHz, 111.78 W, 64
2026/09/22 18:38:29.595, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 9 %, 3560 MiB, 1911 MHz, 5005 MHz, 106.22 W, 64
2026/09/22 18:38:31.554, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 7 %, 3574 MiB, 1911 MHz, 5005 MHz, 113.74 W, 65
2026/09/22 18:38:33.508, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3541 MiB, 1911 MHz, 5005 MHz, 105.85 W, 65
2026/09/22 18:38:35.475, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3548 MiB, 1911 MHz, 5005 MHz, 107.78 W, 65
2026/09/22 18:38:37.434, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3698 MiB, 1911 MHz, 5005 MHz, 110.42 W, 65
2026/09/22 18:38:39.394, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 9 %, 3615 MiB, 1911 MHz, 5005 MHz, 105.74 W, 64
2026/09/22 18:38:43.132, NVIDIA GeForce GTX 1080 Ti, 582.28, 98 %, 7 %, 3548 MiB, 1911 MHz, 5005 MHz, 122.96 W, 65
2026/09/22 18:38:45.107, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 12 %, 3571 MiB, 1911 MHz, 5005 MHz, 107.22 W, 65
2026/09/22 18:38:47.078, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 12 %, 3570 MiB, 1911 MHz, 5005 MHz, 109.57 W, 65
2026/09/22 18:38:49.050, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3628 MiB, 1911 MHz, 5005 MHz, 110.23 W, 65
2026/09/22 18:38:51.027, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 7 %, 3608 MiB, 1911 MHz, 5005 MHz, 107.56 W, 65
2026/09/22 18:38:52.927, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 14 %, 3632 MiB, 1911 MHz, 5005 MHz, 109.32 W, 65
2026/09/22 18:38:54.822, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3626 MiB, 1911 MHz, 5005 MHz, 109.74 W, 65
2026/09/22 18:38:56.751, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3632 MiB, 1911 MHz, 5005 MHz, 118.73 W, 66
2026/09/22 18:38:58.710, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 8 %, 3652 MiB, 1911 MHz, 5005 MHz, 108.53 W, 66
2026/09/22 18:39:00.671, NVIDIA GeForce GTX 1080 Ti, 582.28, 70 %, 2 %, 2826 MiB, 1911 MHz, 5005 MHz, 90.73 W, 64
2026/09/22 18:39:02.625, NVIDIA GeForce GTX 1080 Ti, 582.28, 34 %, 3 %, 1960 MiB, 1911 MHz, 5005 MHz, 81.30 W, 64
2026/09/22 18:39:04.579, NVIDIA GeForce GTX 1080 Ti, 582.28, 10 %, 1 %, 2397 MiB, 1455 MHz, 5005 MHz, 59.10 W, 60
2026/09/22 18:39:06.533, NVIDIA GeForce GTX 1080 Ti, 582.28, 4 %, 1 %, 2766 MiB, 1455 MHz, 5005 MHz, 64.98 W, 60
2026/09/22 18:39:08.498, NVIDIA GeForce GTX 1080 Ti, 582.28, 15 %, 1 %, 3117 MiB, 1455 MHz, 5005 MHz, 59.34 W, 60
2026/09/22 18:39:10.457, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 4 %, 2995 MiB, 1911 MHz, 5005 MHz, 99.07 W, 64
2026/09/22 18:39:12.416, NVIDIA GeForce GTX 1080 Ti, 582.28, 68 %, 4 %, 2982 MiB, 1911 MHz, 5005 MHz, 105.16 W, 64
2026/09/22 18:39:14.381, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2974 MiB, 1911 MHz, 5005 MHz, 96.68 W, 64
2026/09/22 18:39:18.132, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 2967 MiB, 1911 MHz, 5005 MHz, 97.63 W, 64
2026/09/22 18:39:20.113, NVIDIA GeForce GTX 1080 Ti, 582.28, 100 %, 5 %, 3086 MiB, 1911 MHz, 5005 MHz, 97.81 W, 64
2026/09/22 18:39:22.091, NVIDIA GeForce GTX 1080 Ti, 582.28, 98 %, 5 %, 3184 MiB, 1911 MHz, 5005 MHz, 100.54 W, 65
2026/09/22 18:39:24.051, NVIDIA GeForce GTX 1080 Ti, 582.28, 99 %, 5 %, 3225 MiB, 1911 MHz, 5005 MHz, 100.11 W, 64
