case,frame,method,repeat,status,compute_audit_s,setup_s,gmres_iterations,matrix_rebuilds,held_linf,process_wall_s,base_precision,half_attempts,half_recovered,gauss_attempts,mixed_counts,base_batch_s,half_batch_s,gauss_batch_s,accepted_steps,audit_flag_nonzero,energy_ledger_max_abs_j
reference_rectangle_failure_103,103,gauss,0,passed,43.25644713499787,9.540349351998884,19355,10,0.0,53.338373418999254,M1,0,0,1,"[514, 0, 0, 0, 0, 0]",42.34224106399779,0,0.9133995989977848,71,0,2.602932246912465e-18
reference_rectangle_failure_103,103,cascade,0,passed,36.12882792700111,11.508566810000048,16197,10,0.0,48.23423686699971,M1,1,1,0,"[506, 0, 0, 0, 0, 0]",35.84905583898944,0.27828197400231147,0,65,0,6.071426286800418e-18
reference_rectangle_failure_103,103,cascade,1,passed,35.14533241800382,14.141067767995992,16172,10,0.0,49.805920355000126,M1,1,1,0,"[506, 0, 0, 0, 0, 0]",34.88290473300003,0.2609274979986367,0,65,0,6.071320407682011e-18
reference_rectangle_failure_103,103,gauss,1,passed,44.32056534100411,7.927781167003559,20525,10,0.0,52.79613570299989,M1,0,0,1,"[513, 0, 0, 0, 0, 0]",43.4483289100026,0,0.8714193859996158,71,0,3.4692351937168006e-18
triangular_flag_failure_120,120,gauss,0,passed,11.806041823998385,8.337289801995212,7971,8,0.0,20.784459848997358,M1,0,0,1,"[398, 0, 0, 0, 0, 0]",11.181924885000626,0,0.6232838770010858,71,0,3.4702939849008685e-18
triangular_flag_failure_120,120,cascade,0,passed,11.411842763001914,5.297399936003785,7871,8,0.0,17.23902002700197,M1,1,1,0,"[396, 0, 0, 0, 0, 0]",11.19261230200209,0.21832924599584658,0,65,0,6.938470387433601e-18
triangular_flag_failure_120,120,cascade,1,passed,11.144327834997966,5.538566417999391,7878,8,0.0,17.279385084999376,M1,1,1,0,"[396, 0, 0, 0, 0, 0]",10.92183063099219,0.2213073649982107,0,65,0,5.204170427930421e-18
triangular_flag_failure_120,120,gauss,1,passed,12.200084074000188,4.6186871790050645,7986,8,0.0,17.29588311700354,M1,0,0,1,"[398, 0, 0, 0, 0, 0]",11.576358463003999,0,0.6227522200060776,71,0,5.2045939444040484e-18
reference_rectangle_recent_118,118,gauss,0,passed,56.002303511995706,8.062653073000547,23882,10,0.0,64.52350651899906,M1,0,0,0,"[577, 0, 0, 0, 0, 0]",56.001511356000265,0,0,64,0,6.938893903907228e-18
reference_rectangle_recent_118,118,cascade,0,passed,56.33313331200043,10.47226213599788,23901,10,0.0,67.49880597299489,M1,0,0,0,"[577, 0, 0, 0, 0, 0]",56.331442288996186,0,0,64,0,5.2075585597194385e-18
reference_rectangle_recent_118,118,cascade,1,passed,56.37037873299414,11.202163709996967,23829,10,0.0,68.16440855799738,M1,0,0,0,"[577, 0, 0, 0, 0, 0]",56.368861725997704,0,0,64,0,5.2075585597194385e-18
reference_rectangle_recent_118,118,gauss,1,passed,52.640099336000276,7.935972954001045,22296,10,0.0,61.02417044300091,M1,0,0,0,"[577, 0, 0, 0, 0, 0]",52.639163514002576,0,0,64,0,5.204170427930421e-18
