label,status,phase,method,variant,frames,solver_audit_s,setup_s,save_s,worker_s,process_wall_s,worker_process_wall_s,gmres,rebuild,gauss_retry,fp64_fallback,audit,checkpoint_sha256,returncode
C_pair1,complete,calm,R64,C,3,5.473019848992408,6.143425668997224,0.0034790150020853616,11.625655404997815,13.756352338001307,13.514447353001742,576,6,0,0,passed,ed147e1fa6c9e91811ace50bd6f547b6a298f36fba52329b1e12bf05b800ad5b,
C_pair2,complete,calm,R64,C,3,5.7918979009991745,6.545923386998766,0.0038395559968193993,12.347113355994225,14.598910494001757,14.339166691999708,576,6,0,0,passed,ed147e1fa6c9e91811ace50bd6f547b6a298f36fba52329b1e12bf05b800ad5b,
C_pair3,complete,calm,R64,C,3,5.34887054200226,6.393324937002035,0.0029073300029267557,11.750564766000025,14.024691894999705,13.775739812997926,576,6,0,0,passed,ed147e1fa6c9e91811ace50bd6f547b6a298f36fba52329b1e12bf05b800ad5b,
C_screen,ready,,,,,,,,,,,,,,,,,1
C_screen_fixed,complete,calm,R64,C,3,5.355166832996474,12.155712332998519,0.0034311380004510283,17.519140881995554,20.28503477999766,20.035885899000277,576,6,0,0,passed,ed147e1fa6c9e91811ace50bd6f547b6a298f36fba52329b1e12bf05b800ad5b,
C_wind_M1_1,complete,wind,M1,C,3,25.0376698770051,7.33894992400019,0.002987589999975171,32.38585113899899,34.69952582300175,34.4531352289996,11356,13,0,0,passed,4808a54548fcd88ae924d2ea5d092042ad637976ce29ba45c315148f274df03b,
C_wind_M1_2,complete,wind,M1,C,3,25.104585494991625,6.6836551320011495,0.0034204890034743585,31.798031040998467,34.07720483800222,33.822764624994306,11365,13,0,0,passed,4808a54548fcd88ae924d2ea5d092042ad637976ce29ba45c315148f274df03b,
C_wind_M1_3,complete,wind,M1,C,3,24.912108037002326,6.635411096001917,0.0030141370007186197,31.556363798998063,33.81495955699938,33.56962973700138,11369,13,0,0,passed,4808a54548fcd88ae924d2ea5d092042ad637976ce29ba45c315148f274df03b,
C_wind_R64_1,complete,wind,R64,C,3,30.715566420003597,9.672457419997954,0.0032067319989437237,40.39699419200042,42.64793015000032,42.37436945099762,10630,13,0,0,passed,4808a54548fcd88ae924d2ea5d092042ad637976ce29ba45c315148f274df03b,
C_wind_R64_2,complete,wind,R64,C,3,30.561275562002265,6.210566580004524,0.002959937999548856,36.77999801799888,38.97575512499316,38.721652931999415,10630,13,0,0,passed,4808a54548fcd88ae924d2ea5d092042ad637976ce29ba45c315148f274df03b,
C_wind_R64_3,complete,wind,R64,C,3,30.641351727994333,6.323069682002824,0.0031930059994920157,36.973014656003215,39.142739798997354,38.88967152300029,10630,13,0,0,passed,4808a54548fcd88ae924d2ea5d092042ad637976ce29ba45c315148f274df03b,
D_pair1,complete,calm,R64,D,3,5.5816860440027085,6.503142128996842,0.0028654369962168857,12.09335944600025,14.786388978995092,13.962746026998502,576,6,0,0,passed,ed147e1fa6c9e91811ace50bd6f547b6a298f36fba52329b1e12bf05b800ad5b,
D_pair2,complete,calm,R64,D,3,5.384638609000831,6.127354431999265,0.0030439640031545423,11.52037127600488,14.316235639002116,13.446883469005115,576,6,0,0,passed,ed147e1fa6c9e91811ace50bd6f547b6a298f36fba52329b1e12bf05b800ad5b,
D_pair3,complete,calm,R64,D,3,5.712387676001526,6.371997259004274,0.0031328350014518946,12.092816978001792,14.77396288500313,14.02088444000401,576,6,0,0,passed,ed147e1fa6c9e91811ace50bd6f547b6a298f36fba52329b1e12bf05b800ad5b,
D_screen,complete,calm,R64,D,3,5.686190399006591,6.788071417999163,0.003196648998709861,12.492367150000064,15.252004419999139,14.460925464001775,576,6,0,0,passed,ed147e1fa6c9e91811ace50bd6f547b6a298f36fba52329b1e12bf05b800ad5b,
