shape,frame,phase_start_s,physical_start_s,wind_velocity,compute_audit_s,gmres_iterations,matrix_rebuilds,gauss_retries,wind_free_l2_n,wind_local_node_max_n,wind_local_component_max_n,held_free_l2_n,vector_change_n_s,rise_n_s,drop_n_s,direction_change_weighted_n_s,direction_angle_rad
reference_rectangle,0,0.0,2.0,"[0.0, 0.0, 0.0]",2.0630266570005915,192,2,0,0.0,0.0,0.0,0.020081229116391573,0.0,0.0,-0.0,0.0,
reference_rectangle,1,0.016666666666666666,2.0166666666666666,"[-0.00020461909917519409, 0.00010585701397545651, -0.00020653589065703913]",1.9647728849959094,192,2,0,1.3762958536160597e-10,5.910207519505127e-12,5.910207519505127e-12,0.020081229116391573,8.257775121696358e-09,8.257775121696358e-09,-8.257775121696358e-09,0.0,
reference_rectangle,2,0.03333333333333333,2.033333333333333,"[-0.0009103224696260057, 0.0004709434201294458, -0.0009188500135480777]",1.9625231870013522,192,2,0,2.7240055679719975e-09,1.169770416829594e-10,1.169770416829594e-10,0.020081229116391756,1.5518255895662668e-07,1.551825589566235e-07,-1.551825589566235e-07,7.036505653268118e-15,8.521067175564902e-07
reference_rectangle,3,0.05,2.05,"[-0.002399623981236367, 0.001241414072984899, -0.0024221027177052773]",1.992420474998653,192,2,0,1.8927361864479716e-08,8.128195364683075e-10,8.128195364683075e-10,0.020081229116400492,9.722013777941082e-07,9.72201377790463e-07,-9.72201377790463e-07,1.009972358177993e-12,6.179456031310031e-06
reference_rectangle,4,0.06666666666666667,2.066666666666667,"[-0.004941086201673721, 0.002556206303384603, -0.004987372359616002]",1.973765791997721,192,2,0,8.024277894446025e-08,3.446243430574286e-09,3.4462434305742847e-09,0.020081229116551875,3.6789250252976356e-06,3.6789250247988323e-06,-3.6789250247988323e-06,2.9422710386940616e-11,2.5908444609124362e-05
reference_rectangle,5,0.08333333333333333,2.0833333333333335,"[-0.00878932039638902, 0.0045470399184912, -0.00887165530322282]",2.0558246660002624,213,2,0,2.53848955591251e-07,1.0910998570906199e-08,1.0910998570905942e-08,0.020081229117995446,1.0416370671276508e-05,1.0416370598807444e-05,-1.0416370598807444e-05,6.908199021490575e-10,0.00014348537272947136
reference_rectangle,6,0.1,2.1,"[-0.014184986528616722, 0.0073384172017871875, -0.014317865919923492]",2.367542610001692,284,3,0,6.608976594538987e-07,2.8653174805930853e-08,2.8653174805850504e-08,0.02008122912725095,2.442293626869157e-05,2.442292223175886e-05,-2.442292223175886e-05,1.6228208030833427e-08,0.0010654766966086383
reference_rectangle,7,0.11666666666666667,2.1166666666666667,"[-0.021354793259374803, 0.011047622913074918, -0.021554836588570995]",2.5524929680032074,369,3,0,1.4966317432794913e-06,6.974844832092095e-08,6.974844827511098e-08,0.02008122917182322,5.014673051324946e-05,5.0144045029535554e-05,-5.0144045029535554e-05,3.448667998731461e-07,0.008696956374539624
reference_rectangle,8,0.13333333333333333,2.1333333333333333,"[-0.030511497947464737, 0.015784724288476593, -0.030797317695473496]",2.7571200579986908,473,3,0,3.0624017047096535e-06,2.456727873874841e-07,2.4567274236984544e-07,0.02008122935349318,9.43651695399739e-05,9.394619768580974e-05,-9.394619768580974e-05,6.209506555012344e-06,0.06916357808001426
reference_rectangle,9,0.15,2.15,"[-0.041853906649471515, 0.021652571040434283, -0.04224597763439437]",3.0527755949951825,626,3,0,6.71567826574092e-06,2.1144774923114963e-06,2.114446818175359e-06,0.020081231518761088,0.000248050995091419,0.000219196593661876,-0.000219196593661876,7.840896247400886e-05,0.43003508987316713
